fetched_at_utc,country,state,city,station,last_update,latitude,longitude,CO,NO2,OZONE,PM10,PM2.5,SO2
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"ITO, Delhi - CPCB",19-09-2026 11:00:00,28.628624,77.24106,53.0,61.0,11.0,92.0,66.0,25.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"North Campus, DU, Delhi - IITM",19-09-2026 11:00:00,28.6573814,77.1585447,64.0,119.0,26.0,100.0,69.0,
2026-09-19T06:30:13+00:00,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",19-09-2026 11:00:00,28.4417,77.3217,27.0,38.0,16.0,96.0,55.0,2.0
2026-09-19T06:30:13+00:00,India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",19-09-2026 11:00:00,28.376058,77.315741,64.0,31.0,6.0,126.0,143.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-09-2026 11:00:00,28.530785,77.271255,63.0,37.0,9.0,117.0,72.0,8.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-09-2026 11:00:00,28.732528,77.11992,53.0,4.0,13.0,125.0,114.0,11.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",19-09-2026 11:00:00,28.672342,77.31526,73.0,44.0,19.0,113.0,98.0,9.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",19-09-2026 11:00:00,28.73282,77.170633,60.0,26.0,6.0,120.0,73.0,12.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-09-2026 11:00:00,28.56789,77.250515,59.0,36.0,12.0,122.0,107.0,15.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Patparganj, Delhi - DPCC",19-09-2026 11:00:00,28.623763,77.287209,19.0,32.0,12.0,135.0,101.0,8.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",19-09-2026 11:00:00,28.58028,77.233829,118.0,18.0,22.0,90.0,67.0,63.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",19-09-2026 11:00:00,28.6514781,77.1473105,51.0,64.0,11.0,87.0,51.0,12.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19-09-2026 11:00:00,28.636429,77.201067,87.0,23.0,13.0,91.0,30.0,38.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Sirifort, Delhi - CPCB",19-09-2026 11:00:00,28.5504249,77.2159377,28.0,32.0,15.0,125.0,85.0,32.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Pusa, Delhi - IITM",19-09-2026 11:00:00,28.63611,77.173332,34.0,72.0,26.0,96.0,81.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",19-09-2026 11:00:00,28.54246,77.191651,33.0,31.0,27.0,141.0,62.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",19-09-2026 11:00:00,28.493624,77.201159,74.0,27.0,6.0,94.0,22.0,7.0
2026-09-19T06:30:13+00:00,India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",19-09-2026 11:00:00,28.4501238,77.0263051,56.0,9.0,6.0,50.0,65.0,16.0
2026-09-19T06:30:13+00:00,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",19-09-2026 11:00:00,28.4275,77.1465,36.0,45.0,,116.0,138.0,12.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19-09-2026 11:00:00,28.570173,76.933762,27.0,15.0,14.0,72.0,35.0,15.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-09-2026 11:00:00,28.684678,77.076574,52.0,87.0,5.0,111.0,77.0,11.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",19-09-2026 11:00:00,28.594004,76.909423,37.0,4.0,6.0,108.0,79.0,2.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-09-2026 11:00:00,28.695381,77.181665,88.0,30.0,10.0,97.0,69.0,42.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",19-09-2026 11:00:00,28.674045,77.131023,33.0,38.0,15.0,117.0,89.0,24.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.646233,77.358075,9.0,16.0,25.0,81.0,79.0,6.0
